"study_id","population_id","contrast","timing_construct","challenge_type","metabolic_group","metric","auc_definition","window_min","early_value","late_value","later_minus_earlier","ci_low","ci_high","p_value","units","result_form","data_status","precision_status","source_provenance","direction"
"Jarrett_1972","Jarrett_1972_all","20:00 versus 09:00 OGTT","daypart","oral_glucose_or_carbohydrate","healthy","mean-curve glucose AUC","trapezoidal from reported timed means",120,13299.6,16306.35,3006.75,,,,"mg/dL×min","descriptive reconstruction","derived","participant-level AUC variance unavailable","Jarrett_1972; PDF pp2-3; Tables II-III","larger response later"
"Lopez_Minguez_2018","Lopez_Minguez_2018_all","Late versus early dinner","relative_to_sleep","mixed_meal","overweight/obesity without diabetes","mean difference","reported AUC",120,,,15.13,,,"0.004","mmol/L×h (as printed)","within_person_contrast","derived","no SE/CI reported for this contrast","Lopez_Minguez_2018_primary; PDF p7; Results","larger response later"
"Lu_2022","Lu_2022_all","14:00 versus 12:00 lunch, no preload","same_meal_occasion","mixed_meal","healthy","Capillary glucose iAUC","incremental; reported window ambiguous",,220,290,70,,,"<0.05","mmol/L×min","difference of digitized condition means","graph_digitized","Paired precision unavailable; AUC label 0-120 versus sampling -30 to +90 min","Lu 2022; pp7-8, Results 3.3 and Figure 3","larger capillary response later (reported P<0.05); approximate digitized contrast"
"Nakamura_2021","Nakamura_2021_all","Late versus early dinner, Day 2","same_meal_occasion","mixed_meal","healthy","3-h glucose iAUC","incremental",180,3800,5900,2100,,,,"mg/3hour/dL (as figure)","difference of reported condition means","graph_digitized","paired/model precision unavailable in the report","Nakamura_2021; PDF p7; Figure 3B","larger response later"
"Pizinger_2018","Pizinger_2018_all","Late versus normal meal, late sleep","daypart","mixed_meal","overweight/obesity without diabetes","MTT total glucose AUC","total",180,21395,22009,614,,,,"mg/dL×180 min","difference of reported condition means","reported_text","paired/model precision unavailable in the report","Pizinger_2018_primary; PDF pp3–5; Results","larger response later"
"Pizinger_2018","Pizinger_2018_all","Late versus normal meal, normal sleep","daypart","mixed_meal","overweight/obesity without diabetes","MTT total glucose AUC","total",180,20560,22095,1535,,,,"mg/dL×180 min","difference of reported condition means","reported_text","paired/model precision unavailable in the report","Pizinger_2018_primary; PDF pp3–5; Results","larger response later"
"Sato_2011","Sato_2011_all","Late versus normal dinner","same_meal_occasion","mixed_meal","healthy","dinner glucose AUC","total",300,25950,27945,1995,,,,"mg/dL×min","difference of reported condition means","reported_table","paired/model precision unavailable in the report","Sato_2011_primary; PDF pp4–5; Results and Table 1","larger response later"
"Service_1983","Service_1983_all","13:00 versus 08:00, large meal","daypart","mixed_meal","healthy","integrated glucose response","reported integrated response",300,166.7,361.1,194.4,,,,"mmol·L⁻¹·300 min⁻¹ (as printed)","difference of reported condition means","reported_table","paired/model precision unavailable in the report","Service_1983; PDF p3; Results/Table","larger response later"
"Service_1983","Service_1983_all","13:00 versus 08:00, medium meal","daypart","mixed_meal","healthy","integrated glucose response","reported integrated response",300,122.2,150,27.8,,,,"mmol·L⁻¹·300 min⁻¹ (as printed)","difference of reported condition means","reported_table","paired/model precision unavailable in the report","Service_1983; PDF p3; Results/Table","larger response later"
"Service_1983","Service_1983_all","18:00 versus 08:00, large meal","daypart","mixed_meal","healthy","integrated glucose response","reported integrated response",300,166.7,577.8,411.1,,,,"mmol·L⁻¹·300 min⁻¹ (as printed)","difference of reported condition means","reported_table","paired/model precision unavailable in the report","Service_1983; PDF p3; Results/Table","larger response later"
"Service_1983","Service_1983_all","18:00 versus 08:00, medium meal","daypart","mixed_meal","healthy","integrated glucose response","reported integrated response",300,122.2,338.9,216.7,,,,"mmol·L⁻¹·300 min⁻¹ (as printed)","difference of reported condition means","reported_table","paired/model precision unavailable in the report","Service_1983; PDF p3; Results/Table","larger response later"
"Stutz_2024","Stutz_2024_early","Evening versus morning, early chronotype","daypart","mixed_meal","healthy","2-h iAUC model contrast","incremental",120,,,40,2,77,"0.042","mmol/L×min","model_contrast","reported_table","reported 95% CI","Stutz_2024; PDF p7; Table 2","larger response later"
"Stutz_2024","Stutz_2024_late","Evening versus morning, late chronotype","daypart","mixed_meal","healthy","2-h iAUC model contrast","incremental",120,,,-4,-55,48,"0.888","mmol/L×min","model_contrast","reported_table","reported 95% CI","Stutz_2024; PDF p7; Table 2","smaller response later"
"Sulaimani_2025","Sulaimani_2025_all","Evening versus morning, control rice","daypart","mixed_meal","healthy","glucose iAUC","incremental",180,196.344285714286,359.952142857143,163.607857142857,71.2482340642237,255.967480221491,,"mmol/L×min (source-inferred)","within_person_contrast","derived","95% CI calculated from author-provided participant-level paired differences","Sulaimani_2025; author-provided iAUC-glucose worksheet; PDF p6, Figure 3B","larger response later"
"Sulaimani_2025","Sulaimani_2025_all","Evening versus morning, GTE rice","daypart","mixed_meal","healthy","glucose iAUC","incremental",180,182.851428571429,385.2,202.348571428571,112.438177011518,292.258965845624,,"mmol/L×min (source-inferred)","within_person_contrast","derived","95% CI calculated from author-provided participant-level paired differences","Sulaimani_2025; author-provided iAUC-glucose worksheet; PDF p6, Figure 3B","larger response later"
