condition_id,study_id,population_id,label,timing_level,clock_time,relative_to_sleep,meal_occasion,meal_or_challenge,energy,carbohydrate,modifier,cointervention,exposure_days,notes,provenance
Lopez_early,Lopez_Minguez_2018,Lopez_Minguez_2018_all,early mixed dinner,earlier,,4 h before bedtime,dinner,high-GI mixed dinner: ravioli with tomato sauce and peach,30–35% daily energy,58–60% energy,MTNR1B genotype strata,matched food and 8-h fast; light/melatonin differed by assigned timing,1,15–17% protein; 25–27% fat,Lopez_Minguez_2018; PDF pp3–6; Dietary conditions
Lopez_late,Lopez_Minguez_2018,Lopez_Minguez_2018_all,late mixed dinner,later,,1 h before bedtime,dinner,high-GI mixed dinner: ravioli with tomato sauce and peach,30–35% daily energy,58–60% energy,MTNR1B genotype strata,matched food and 8-h fast; light/melatonin differed by assigned timing,1,15–17% protein; 25–27% fat,Lopez_Minguez_2018; PDF pp3–6; Dietary conditions
Lu_12S,Lu_2022,Lu_2022_all,12S: standardized lunch without preload,earlier,12:00,,lunch,"Rice, milk, egg and vegetable salad; same meal at both times",648 kcal,97.2 g,no preload,"Breakfast 08:00, 383 kcal; dinner 18:00, individual quantity replicated; water at -30 min",1,"Breakfast-lunch interval 4 h; protein 24.2 g, fat 18.0 g. Apple-preload arms not eligible.","Lu 2022; pp3-6, Methods 2.2-2.6 and Tables 1-2; doi:10.3390/nu14173617"
Lu_14S,Lu_2022,Lu_2022_all,14S: standardized lunch without preload,later,14:00,,lunch,"Rice, milk, egg and vegetable salad; same meal at both times",648 kcal,97.2 g,no preload,"Breakfast 08:00, 383 kcal; dinner 18:00, individual quantity replicated; water at -30 min",1,"Breakfast-lunch interval 6 h; protein 24.2 g, fat 18.0 g. Apple-preload arms not eligible.","Lu 2022; pp3-6, Methods 2.2-2.6 and Tables 1-2; doi:10.3390/nu14173617"
Nakamura_early,Nakamura_2021,Nakamura_2021_all,early dinner,earlier,18:00,,dinner,standardized mixed dinner,matched,matched,,matched meals/activity,3,,Nakamura_2021; PDF pp3–4
Nakamura_late,Nakamura_2021,Nakamura_2021_all,late dinner,later,21:00,,dinner,standardized mixed dinner,matched,matched,,matched meals/activity,3,,Nakamura_2021; PDF pp3–4
Piz_NsNm,Pizinger_2018,Pizinger_2018_all,normal sleep / normal meal,earlier,~13:00,,scheduled lunch MTT,liquid meal tolerance test,30% energy requirement,matched,sleep timing: normal,matched sleep duration and food intake,5,Meal delayed 3.5 h,Pizinger_2018; PDF pp2–4
Piz_LsNm,Pizinger_2018,Pizinger_2018_all,late sleep / normal meal,earlier,~13:00,,scheduled lunch MTT,liquid meal tolerance test,30% energy requirement,matched,sleep timing: late,matched sleep duration and food intake,5,Meal delayed 3.5 h,Pizinger_2018; PDF pp2–4
Piz_NsLm,Pizinger_2018,Pizinger_2018_all,normal sleep / late meal,later,~16:30,,scheduled lunch MTT,liquid meal tolerance test,30% energy requirement,matched,sleep timing: normal,matched sleep duration and food intake,5,Meal delayed 3.5 h,Pizinger_2018; PDF pp2–4
Piz_LsLm,Pizinger_2018,Pizinger_2018_all,late sleep / late meal,later,~16:30,,scheduled lunch MTT,liquid meal tolerance test,30% energy requirement,matched,sleep timing: late,matched sleep duration and food intake,5,Meal delayed 3.5 h,Pizinger_2018; PDF pp2–4
Sato_normal,Sato_2011,Sato_2011_all,normal dinner,earlier,19:00,,dinner,standardized mixed dinner,matched,matched,,matched 24-h chamber schedule,1,,Sato_2011; PDF pp2–3
Sato_late,Sato_2011,Sato_2011_all,late dinner,later,22:30,,dinner,standardized mixed dinner,matched,matched,,matched 24-h chamber schedule,1,,Sato_2011; PDF pp2–3
Service_small_08,Service_1983,Service_1983_all,small meal 08:00,earlier,08:00,,meal,small standardized mixed meal,small,matched composition,small,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_small_13,Service_1983,Service_1983_all,small meal 13:00,later,13:00,,meal,small standardized mixed meal,small,matched composition,small,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_small_18,Service_1983,Service_1983_all,small meal 18:00,later,18:00,,meal,small standardized mixed meal,small,matched composition,small,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_medium_08,Service_1983,Service_1983_all,medium meal 08:00,earlier,08:00,,meal,medium standardized mixed meal,medium,matched composition,medium,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_medium_13,Service_1983,Service_1983_all,medium meal 13:00,later,13:00,,meal,medium standardized mixed meal,medium,matched composition,medium,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_medium_18,Service_1983,Service_1983_all,medium meal 18:00,later,18:00,,meal,medium standardized mixed meal,medium,matched composition,medium,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_large_08,Service_1983,Service_1983_all,large meal 08:00,earlier,08:00,,meal,large standardized mixed meal,large,matched composition,large,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_large_13,Service_1983,Service_1983_all,large meal 13:00,later,13:00,,meal,large standardized mixed meal,large,matched composition,large,Latin-square sequence,1,,Service_1983; PDF pp1–3
Service_large_18,Service_1983,Service_1983_all,large meal 18:00,later,18:00,,meal,large standardized mixed meal,large,matched composition,large,Latin-square sequence,1,,Service_1983; PDF pp1–3
Stutz_2024_early_morning,Stutz_2024,Stutz_2024_early,morning high-GI meal,earlier,07:00,,test meal,high-GI mixed meal,matched,matched,chronotype stratum,controlled trial,1,,Stutz_2024; PDF pp3–5
Stutz_2024_early_evening,Stutz_2024,Stutz_2024_early,evening high-GI meal,later,20:00,,test meal,high-GI mixed meal,matched,matched,chronotype stratum,controlled trial,1,,Stutz_2024; PDF pp3–5
Stutz_2024_late_morning,Stutz_2024,Stutz_2024_late,morning high-GI meal,earlier,07:00,,test meal,high-GI mixed meal,matched,matched,chronotype stratum,controlled trial,1,,Stutz_2024; PDF pp3–5
Stutz_2024_late_evening,Stutz_2024,Stutz_2024_late,evening high-GI meal,later,20:00,,test meal,high-GI mixed meal,matched,matched,chronotype stratum,controlled trial,1,,Stutz_2024; PDF pp3–5
Sulaimani_control_AM,Sulaimani_2025,Sulaimani_2025_all,control rice AM,earlier,~08:30,,test meal,white rice,matched,matched,control,matched,1,Meal approximately 30 min after 08:00/18:00 baseline sampling; matched ≥9-h fast.,Sulaimani_2025; PDF pp3–6
Sulaimani_control_PM,Sulaimani_2025,Sulaimani_2025_all,control rice PM,later,~18:30,,test meal,white rice,matched,matched,control,matched,1,Meal approximately 30 min after 08:00/18:00 baseline sampling; matched ≥9-h fast.,Sulaimani_2025; PDF pp3–6
Sulaimani_GTE_AM,Sulaimani_2025,Sulaimani_2025_all,GTE rice AM,earlier,~08:30,,test meal,green-tea-extract enriched white rice,matched,matched,GTE,matched,1,Meal approximately 30 min after 08:00/18:00 baseline sampling; matched ≥9-h fast.,Sulaimani_2025; PDF pp3–6
Sulaimani_GTE_PM,Sulaimani_2025,Sulaimani_2025_all,GTE rice PM,later,~18:30,,test meal,green-tea-extract enriched white rice,matched,matched,GTE,matched,1,Meal approximately 30 min after 08:00/18:00 baseline sampling; matched ≥9-h fast.,Sulaimani_2025; PDF pp3–6
